rank,title,artist,image,last week,peak position,weeks on chart,detail,date,weeks at no.1
1,Low,Flo Rida Featuring T-Pain,https://charts-static.billboard.com/img/2007/09/flo-rida-8v1-53x53.jpg,2,1,9,up,2008-01-05,
2,No One,Alicia Keys,https://charts-static.billboard.com/img/2007/09/alicia-keys-xkr-53x53.jpg,1,1,16,down,2008-01-05,
3,Apologize,Timbaland Featuring OneRepublic,https://charts-static.billboard.com/img/2016/11/timbaland-53x53.jpg,3,2,21,same,2008-01-05,
4,Kiss Kiss,Chris Brown Featuring T-Pain,https://charts-static.billboard.com/img/2007/08/chris-brown-cte-53x53.jpg,4,1,15,same,2008-01-05,
5,Clumsy,Fergie,https://charts-static.billboard.com/img/2007/10/fergie-8pu-53x53.jpg,5,5,11,same,2008-01-05,
6,Paralyzer,Finger Eleven,https://charts-static.billboard.com/img/2006/12/finger-eleven-7ug-53x53.jpg,7,6,29,up,2008-01-05,
7,Bubbly,Colbie Caillat,https://charts-static.billboard.com/img/1840/12/colbie-caillat-p3m-53x53.jpg,6,5,26,down,2008-01-05,
8,Tattoo,Jordin Sparks,https://charts-static.billboard.com/img/2007/09/jordin-sparks-v2k-53x53.jpg,8,8,13,same,2008-01-05,
9,Love Song,Sara Bareilles,https://charts-static.billboard.com/img/1840/12/sara-bareilles-7da-53x53.jpg,16,9,8,up,2008-01-05,
10,Hate That I Love You,Rihanna Featuring Ne-Yo,https://charts-static.billboard.com/img/2007/09/rihanna-v3t-53x53.jpg,9,7,17,down,2008-01-05,
11,Crank That (Soulja Boy),Soulja Boy Tell'em,https://charts-static.billboard.com/img/2007/06/soulja-boy-4vz-53x53.jpg,11,1,24,same,2008-01-05,
12,Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia",https://charts-static.billboard.com/img/2007/09/wyclef-jean-wpq-53x53.jpg,23,12,15,up,2008-01-05,
13,Cyclone,Baby Bash Featuring T-Pain,https://charts-static.billboard.com/img/2007/06/baby-bash-kcz-53x53.jpg,12,7,22,down,2008-01-05,
14,Good Life,Kanye West Featuring T-Pain,https://charts-static.billboard.com/img/2007/09/kanye-west-irm-53x53.jpg,10,7,15,down,2008-01-05,
15,Take You There,Sean Kingston,https://charts-static.billboard.com/img/2007/10/sean-kingston-qzx-53x53.jpg,18,15,8,up,2008-01-05,
16,With You,Chris Brown,https://charts-static.billboard.com/img/2007/12/chris-brown-cte-53x53.jpg,25,16,4,up,2008-01-05,
17,Hypnotized,Plies Featuring Akon,https://charts-static.billboard.com/img/2007/09/plies-yvr-53x53.jpg,14,14,13,down,2008-01-05,
18,Love Like This,Natasha Bedingfield Featuring Sean Kingston,https://charts-static.billboard.com/img/2007/10/natasha-bedingfield-z7w-53x53.jpg,19,18,10,up,2008-01-05,
19,Like You'll Never See Me Again,Alicia Keys,https://charts-static.billboard.com/img/2007/11/alicia-keys-xkr-53x53.jpg,13,13,7,down,2008-01-05,
20,Stronger,Kanye West,https://charts-static.billboard.com/img/2007/07/kanye-west-irm-53x53.jpg,17,1,22,down,2008-01-05,
21,Piece Of Me,Britney Spears,https://charts-static.billboard.com/img/2007/11/britney-spears-s89-53x53.jpg,45,21,8,up,2008-01-05,
22,Just Fine,Mary J. Blige,https://charts-static.billboard.com/img/2007/10/mary-j-blige-hn0-53x53.jpg,26,22,10,up,2008-01-05,
23,Teardrops On My Guitar,Taylor Swift,https://charts-static.billboard.com/img/2007/02/taylor-swift-p7u-teardrops-on-my-guitar-nq6-53x53.jpg,24,23,29,up,2008-01-05,
24,Can't Help But Wait,Trey Songz,https://charts-static.billboard.com/img/2007/08/trey-songz-kc8-53x53.jpg,15,14,14,down,2008-01-05,
25,The Way I Are,Timbaland Featuring Keri Hilson,https://charts-static.billboard.com/img/2007/05/timbaland-3i9-53x53.jpg,20,3,30,down,2008-01-05,
26,Our Song,Taylor Swift,https:https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg,21,21,13,down,2008-01-05,
27,Sensual Seduction,Snoop Dogg,https://charts-static.billboard.com/img/2007/11/snoop-dogg-7vk-53x53.jpg,37,27,4,up,2008-01-05,
28,Shadow Of The Day,Linkin Park,https://charts-static.billboard.com/img/2007/08/linkin-park-brd-53x53.jpg,29,28,7,up,2008-01-05,
29,Duffle Bag Boy,Playaz Circle Featuring Lil Wayne,https://charts-static.billboard.com/img/2007/07/playaz-circle-d9q-53x53.jpg,22,15,14,down,2008-01-05,
30,How Far We've Come,matchbox twenty,https://charts-static.billboard.com/img/2007/08/matchbox-twenty-cm2-53x53.jpg,27,11,17,down,2008-01-05,
31,Misery Business,Paramore,https://charts-static.billboard.com/img/2007/06/paramore-teo-53x53.jpg,35,31,23,up,2008-01-05,
32,I Don't Wanna Be In Love (Dance Floor Anthem),Good Charlotte,https://charts-static.billboard.com/img/2007/08/good-charlotte-s8n-53x53.jpg,34,26,16,up,2008-01-05,
33,Into The Night,Santana Featuring Chad Kroeger,https://charts-static.billboard.com/img/2007/09/santana-fo5-53x53.jpg,30,30,12,down,2008-01-05,
34,Don't Stop The Music,Rihanna,https://charts-static.billboard.com/img/2007/07/rihanna-v3t-53x53.jpg,47,34,5,up,2008-01-05,
35,Suffocate,J. Holiday,https://charts-static.billboard.com/img/2007/10/j-holiday-enm-53x53.jpg,41,35,7,up,2008-01-05,
36,Flashing Lights,Kanye West Featuring Dwele,https://charts-static.billboard.com/img/2007/10/kanye-west-irm-53x53.jpg,39,36,5,up,2008-01-05,
37,Over You,Daughtry,https://charts-static.billboard.com/img/2007/08/daughtry-uco-53x53.jpg,31,18,20,down,2008-01-05,
38,I'm So Hood,"DJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies",https://charts-static.billboard.com/img/2007/07/dj-khaled-igg-53x53.jpg,28,19,15,down,2008-01-05,
39,Big Girls Don't Cry,Fergie,https://charts-static.billboard.com/img/2007/05/fergie-8pu-53x53.jpg,36,1,36,down,2008-01-05,
40,Wake Up Call,Maroon 5,https://charts-static.billboard.com/img/2007/08/maroon-5-9st-53x53.jpg,42,19,20,up,2008-01-05,
41,Girlfriend,Bow Wow & Omarion,https://charts-static.billboard.com/img/2007/11/bow-wow-ywr-53x53.jpg,33,33,8,down,2008-01-05,
42,Pop Bottles,Birdman Featuring Lil Wayne,https://charts-static.billboard.com/img/2007/08/birdman-ium-53x53.jpg,46,42,8,up,2008-01-05,
43,Until The End Of Time,Justin Timberlake Duet With Beyonce,https://charts-static.billboard.com/img/2007/02/justin-timberlake-wmm-53x53.jpg,38,17,25,down,2008-01-05,
