rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,Single Ladies (Put A Ring On It),Beyonce,https://charts-static.billboard.com/img/1840/12/beyonce-hk0-53x53.jpg,3,1,1,10,same,2009-01-03
2,Live Your Life,T.I. Featuring Rihanna,https://charts-static.billboard.com/img/2008/09/ti-e27-53x53.jpg,,2,1,13,same,2009-01-03
3,Just Dance,Lady Gaga Featuring Colby O'Donis,https://charts-static.billboard.com/img/2008/04/lady-gaga-gyl-53x53.jpg,,3,3,20,same,2009-01-03
4,Heartless,Kanye West,https://charts-static.billboard.com/img/2008/11/kanye-west-irm-53x53.jpg,,7,4,7,up,2009-01-03
5,Womanizer,Britney Spears,https://charts-static.billboard.com/img/2008/10/britney-spears-s89-53x53.jpg,,6,1,12,up,2009-01-03
6,Hot N Cold,Katy Perry,https://charts-static.billboard.com/img/2008/07/katy-perry-l8p-53x53.jpg,,8,3,21,up,2009-01-03
7,Love Story,Taylor Swift,https:https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg,,11,5,15,up,2009-01-03
8,Love Lockdown,Kanye West,https://charts-static.billboard.com/img/2008/09/kanye-west-irm-53x53.jpg,,10,3,14,up,2009-01-03
9,Whatever You Like,T.I.,https://charts-static.billboard.com/img/2008/08/ti-e27-53x53.jpg,,5,1,20,down,2009-01-03
10,If I Were A Boy,Beyonce,https://charts-static.billboard.com/img/1840/12/beyonce-hk0-53x53.jpg,,9,3,11,down,2009-01-03
11,Circus,Britney Spears,https://charts-static.billboard.com/img/2008/12/britney-spears-s89-53x53.jpg,,4,3,3,down,2009-01-03
12,I'm Yours,Jason Mraz,https://charts-static.billboard.com/img/1840/12/jason-mraz-5w0-53x53.jpg,,12,6,36,same,2009-01-03
13,Let It Rock,Kevin Rudolf Featuring Lil Wayne,https://charts-static.billboard.com/img/2008/08/kevin-rudolf-872-53x53.jpg,,13,5,17,same,2009-01-03
14,Miss Independent,Ne-Yo,https://charts-static.billboard.com/img/2008/08/ne-yo-9u2-53x53.jpg,,14,7,18,same,2009-01-03
15,Right Now (Na Na Na),Akon,https://charts-static.billboard.com/img/2008/10/akon-5il-53x53.jpg,,15,8,13,same,2009-01-03
16,So What,P!nk,https://charts-static.billboard.com/img/2008/08/pnk-e1s-53x53.jpg,,16,1,18,same,2009-01-03
17,Gotta Be Somebody,Nickelback,https://charts-static.billboard.com/img/2017/07/nickelback-53x53.jpg,,17,10,12,same,2009-01-03
18,Rehab,Rihanna,https://charts-static.billboard.com/img/2007/07/rihanna-v3t-53x53.jpg,,21,18,7,up,2009-01-03
19,Gives You Hell,The All-American Rejects,https://charts-static.billboard.com/img/2008/10/the-all-american-rejects-yky-53x53.jpg,,37,19,6,up,2009-01-03
20,Chicken Fried,Zac Brown Band,https://charts-static.billboard.com/img/2008/06/zac-brown-band-elb-53x53.jpg,,20,20,14,same,2009-01-03
21,Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,https://charts-static.billboard.com/img/2008/07/lil-wayne-9q6-53x53.jpg,,19,16,18,down,2009-01-03
22,Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,https://charts-static.billboard.com/img/2008/09/jim-jones-bmq-53x53.jpg,,25,22,10,up,2009-01-03
23,Disturbia,Rihanna,https://charts-static.billboard.com/img/2008/06/rihanna-v3t-53x53.jpg,,22,1,27,down,2009-01-03
24,Green Light,John Legend Featuring Andre 3000,https://charts-static.billboard.com/img/2008/08/john-legend-xtz-53x53.jpg,,24,24,16,same,2009-01-03
25,One More Drink,Ludacris Co-Starring T-Pain,https://charts-static.billboard.com/img/2008/10/ludacris-5cn-53x53.jpg,,26,25,8,up,2009-01-03
26,Addicted,Saving Abel,https://charts-static.billboard.com/img/2008/02/saving-abel-2fn-53x53.jpg,,23,20,28,down,2009-01-03
27,Can't Believe It,T-Pain Featuring Lil Wayne,https://charts-static.billboard.com/img/2008/07/t-pain-kj8-53x53.jpg,,18,7,21,down,2009-01-03
28,Chopped 'N' Skrewed,T-Pain Featuring Ludacris,https://charts-static.billboard.com/img/2008/10/t-pain-kj8-53x53.jpg,,27,27,10,down,2009-01-03
29,You Found Me,The Fray,https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg,,30,15,5,up,2009-01-03
30,Better In Time,Leona Lewis,https://charts-static.billboard.com/img/2008/04/leona-lewis-8c8-53x53.jpg,,28,11,24,down,2009-01-03
31,Put It On Ya,Plies Featuring Chris J,https://charts-static.billboard.com/img/2008/10/plies-yvr-53x53.jpg,,65,31,5,up,2009-01-03
32,I Hate This Part,The Pussycat Dolls,https://charts-static.billboard.com/img/2008/11/the-pussycat-dolls-t1l-53x53.jpg,,58,32,4,up,2009-01-03
33,I'm So Paid,Akon Featuring Lil Wayne & Young Jeezy,https://charts-static.billboard.com/img/2008/10/akon-5il-53x53.jpg,,31,31,10,down,2009-01-03
34,Sober,P!nk,https://charts-static.billboard.com/img/2008/11/pnk-e1s-53x53.jpg,,49,34,4,up,2009-01-03
35,Untouched,The Veronicas,https://charts-static.billboard.com/img/2008/07/the-veronicas-ixh-53x53.jpg,,40,35,4,up,2009-01-03
36,Viva La Vida,Coldplay,https://charts-static.billboard.com/img/2008/05/coldplay-j2u-53x53.jpg,,32,1,33,down,2009-01-03
37,Shattered (Turn The Car Around),O.A.R.,https://charts-static.billboard.com/img/2008/07/oar-lfh-53x53.jpg,,36,36,20,down,2009-01-03
38,Roll With Me,Montgomery Gentry,https://charts-static.billboard.com/img/2008/08/montgomery-gentry-k16-53x53.jpg,,33,33,15,down,2009-01-03
39,I Don't Care,Fall Out Boy,https://charts-static.billboard.com/img/2008/09/fall-out-boy-zhw-53x53.jpg,,62,21,15,up,2009-01-03
40,Light On,David Cook,https://charts-static.billboard.com/img/2008/10/david-cook-4hg-53x53.jpg,,48,17,11,up,2009-01-03
41,Human,The Killers,https://charts-static.billboard.com/img/2008/10/the-killers-1wx-53x53.jpg,,41,32,12,same,2009-01-03
42,Closer,Ne-Yo,https://charts-static.billboard.com/img/2008/04/ne-yo-9u2-53x53.jpg,,38,7,36,down,2009-01-03
43,Love Remains The Same,Gavin Rossdale,https://charts-static.billboard.com/img/2008/04/gavin-rossdale-rc7-53x53.jpg,,35,27,29,down,2009-01-03
44,Decode,Paramore,https://charts-static.billboard.com/img/2008/10/paramore-teo-53x53.jpg,,46,34,7,up,2009-01-03
45,Crush,David Archuleta,https://charts-static.billboard.com/img/2008/08/david-archuleta-q6g-crush-45n-53x53.jpg,,43,2,19,down,2009-01-03
46,Fall For You,Secondhand Serenade,https://charts-static.billboard.com/img/2008/03/secondhand-serenade-uco-53x53.jpg,,44,21,28,down,2009-01-03
47,Trading Places,Usher,https://charts-static.billboard.com/img/2008/08/usher-oqp-53x53.jpg,,45,45,8,down,2009-01-03
48,White Horse,Taylor Swift,https:https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg,,51,13,6,up,2009-01-03
49,Just Like Me,Jamie Foxx Featuring T.I.,https://charts-static.billboard.com/img/2008/11/jamie-foxx-hji-53x53.jpg,,75,49,2,up,2009-01-03
50,Already Gone,Sugarland,https://charts-static.billboard.com/img/2008/09/sugarland-661-53x53.jpg,,42,41,13,down,2009-01-03
51,Swagga Like Us,Jay-Z & T.I. Featuring Kanye West & Lil Wayne,https://charts-static.billboard.com/img/2008/09/jay-z-gbw-53x53.jpg,,52,5,15,up,2009-01-03
52,In Color,Jamey Johnson,https://charts-static.billboard.com/img/2008/04/jamey-johnson-q29-53x53.jpg,,53,52,12,up,2009-01-03
53,Bust Your Windows,Jazmine Sullivan,https://charts-static.billboard.com/img/2008/09/jazmine-sullivan-2qt-53x53.jpg,,39,31,11,down,2009-01-03
54,Feel That Fire,Dierks Bentley,https://charts-static.billboard.com/img/2008/10/dierks-bentley-yjg-53x53.jpg,,56,54,11,up,2009-01-03
55,Here,Rascal Flatts,https://charts-static.billboard.com/img/2008/09/rascal-flatts-o8u-53x53.jpg,,50,50,12,down,2009-01-03
56,Cowgirls Don't Cry,Brooks & Dunn Featuring Reba McEntire,https://charts-static.billboard.com/img/2008/10/brooks-dunn-b6k-53x53.jpg,,60,56,6,up,2009-01-03
57,Country Boy,Alan Jackson,https://charts-static.billboard.com/img/2008/10/alan-jackson-pbl-53x53.jpg,,57,57,8,same,2009-01-03
58,She Wouldn't Be Gone,Blake Shelton,https://charts-static.billboard.com/img/2008/08/blake-shelton-22w-53x53.jpg,,54,54,9,down,2009-01-03
59,Start A Band,Brad Paisley Duet With Keith Urban,https://charts-static.billboard.com/img/2008/09/brad-paisley-ws4-53x53.jpg,,55,55,10,down,2009-01-03
60,Right Here (Departed),Brandy,https://charts-static.billboard.com/img/2008/08/brandy-khx-53x53.jpg,,34,34,15,down,2009-01-03
61,Mad,Ne-Yo,https://charts-static.billboard.com/img/2008/10/ne-yo-9u2-53x53.jpg,,79,61,3,up,2009-01-03
62,Seventeen Forever,Metro Station,https://charts-static.billboard.com/img/2008/10/metro-station-o8r-53x53.jpg,,82,62,2,up,2009-01-03
63,Playa Cardz Right,Keyshia Cole Featuring 2Pac,https://charts-static.billboard.com/img/2008/10/keyshia-cole-3ov-53x53.jpg,,67,63,6,up,2009-01-03
64,Don't,Billy Currington,https://charts-static.billboard.com/img/2008/08/billy-currington-kzk-53x53.jpg,,63,63,9,down,2009-01-03
