rank,title,artist,count,year,id
0,Lose Control,Teddy Swims,43,2024,17phhZDn6oGtzMe56NuWvj
1,Stick Season,Noah Kahan,40,2024,0mflMxspEfB0VbI1kyLiAv
2,Beautiful Things,Benson Boone,39,2024,3xkHsmpQCBMytMJNiDf3Ii
3,Houdini,Dua Lipa,37,2024,6D8y7Bck8h11byRY88Pt2z
4,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,35,2024,4KULAymBBJcPRpk1yO4dOG
5,Saturn,SZA,34,2024,1bjeWoagtHmUKputLVyDxQ
6,Feather,Sabrina Carpenter,34,2024,2Zo1PcszsT9WQ0ANntJbID
7,Austin,Dasha,32,2024,2uqYupMHANxnwgeiXTZXzd
8,Lovin On Me,Jack Harlow,32,2024,4xhsWYTOGcal8zt0J161CU
9,Too Sweet,Hozier,30,2024,76JKIsdKrAfWUMjaA0u7v5
10,Like That,"Future, Metro Boomin & Kendrick Lamar",30,2024,2tudvzsrR56uom6smgOcSf
11,Wind Up Missin' You,Tucker Wetmore,29,2024,3EO58D1YpHnTvBy68gK8HE
12,Slow It Down,Benson Boone,29,2024,51eSHglvG1RJXtL3qI5trr
13,"Good Luck, Babe!",Chappell Roan,28,2024,0WbMK4wrZ1wFSty9F7FCgu
14,Greedy,Tate McRae,28,2024,3rUGC1vUpkDG9CZFHMur1t
15,A Bar Song (Tipsy),Shaboozey,27,2024,2FQrifJ1N335Ljm3TjTVVf
16,Espresso,Sabrina Carpenter,27,2024,2qSkIjg1o9h3YT9RAgYN75
17,Gata Only,FloyyMenor X Cris Mj,26,2024,6XjDF6nds4DE2BBbagZol6
18,Agora Hills,Doja Cat,26,2024,5PyDJG7SQRgWXefgexqIge
19,I Can Do It With A Broken Heart,Taylor Swift,26,2024,4q5YezDOIPcoLr8R81x9qy
20,Wild Ones,Jessie Murph & Jelly Roll,26,2024,0kE09o4Jdeu7vqjmkV1YJP
21,Yeah Glo!,GloRilla,25,2024,5A8xI7PN4WDe9e61xEdt94
22,Million Dollar Baby,Tommy Richman,25,2024,5AJ9hqTS2wcFQCELCFRO7A
23,Wanna Be,GloRilla & Megan Thee Stallion,24,2024,7mOC6phfrfz3jfigg1aGsE
24,Miles On It,Marshmello & Kane Brown,24,2024,4pkb8SbRGeHAvdb87v9rpf
25,We Can't Be Friends (Wait For Your Love),Ariana Grande,24,2024,51ZQ1vr10ffzbwIjDCwqm4
26,Not Like Us,Kendrick Lamar,24,2024,6AI3ezQ4o3HUoP6Dhudph3
27,Cowgirls,Morgan Wallen Featuring ERNEST,24,2024,7fveJ3pk1eSfxBdVkzdXZ0
28,I Had Some Help,Post Malone Featuring Morgan Wallen,23,2024,5IZXB5IKAD2qlvTPJYDCFB
29,FE!N,Travis Scott Featuring Playboi Carti,23,2024,42VsgItocQwOQC3XWZ8JNA
30,Belong Together,Mark Ambor,23,2024,0rtDE9zfXbamTlRUSwY7zy
31,Stargazing,Myles Smith,23,2024,3Vr3zh0r7ALn8VLqCiRR10
32,Scared To Start,Michael Marcagi,23,2024,3Pbp7cUCx4d3OAkZSCoNvn
33,Think I'm In Love With You,Chris Stapleton,22,2024,3Gn1zuHNLtGuGEOXwq0k7e
34,Made For Me,Muni Long,22,2024,0WIv5qV41y6YjjB9V1biuC
35,Ain't No Love In Oklahoma,Luke Combs,22,2024,6GG4yyk3UATdBfTHVgI8PB
36,Wildflower,Billie Eilish,22,2024,3QaPy1KgI7nu9FJEQUgn6h
37,Where It Ends,Bailey Zimmerman,22,2024,0wXThIDxO3YRJCpPgnmbkw
38,Birds Of A Feather,Billie Eilish,22,2024,6dOtVTDdiauQNBQEDOtlAB
39,Pink Skies,Zach Bryan,21,2024,4ZJ4vzLQekI0WntDbanNC7
40,Cruel Summer,Taylor Swift,21,2024,1BxfuPKGuaTgP7aM0Bbdwr
41,End Of Beginning,Djo,21,2024,3qhlB30KknSejmIvZZLjOD
42,Get It Sexyy,Sexyy Red,20,2024,2MjXWroB9wlTG2kqv3avfS
43,Hot To Go!,Chappell Roan,20,2024,4xdBrk0nFZaP54vvZj0yx7
44,Bulletproof,Nate Smith,20,2024,6rVuwfysYo1Bp4Hoc4YuE0
45,Wine Into Whiskey,Tucker Wetmore,20,2024,4FgvZaxSi4fwCLEc5tFV00
46,Si No Quieres No,Luis R Conriquez x Neton Vega,20,2024,1C84d9abZVKWHT2YYpoean
47,Whatever She Wants,Bryson Tiller,20,2024,57wp7VFnV8X0pSVnYArGeJ
48,Fortnight,Taylor Swift Featuring Post Malone,20,2024,2OzhQlSqBEmt7hmkYxfT6m
49,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",20,2024,28drn6tQo95MRvO0jQEo5C
