rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,Hero,Mariah Carey,https://charts-static.billboard.com/img/1993/09/mariah-carey-tgq-53x53.jpg,2,1,1,11,same,1994-01-01
2,Again,Janet Jackson,https://charts-static.billboard.com/img/1993/06/janet-jackson-9z4-53x53.jpg,,2,1,11,same,1994-01-01
3,All That She Wants,Ace Of Base,https://charts-static.billboard.com/img/1993/09/ace-of-base-pa7-53x53.jpg,,3,2,16,same,1994-01-01
4,All For Love,Bryan Adams/Rod Stewart/Sting,https://charts-static.billboard.com/img/1993/11/bryan-adams-xrt-53x53.jpg,,5,4,6,up,1994-01-01
5,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,https://charts-static.billboard.com/img/1993/09/meat-loaf-ocu-53x53.jpg,,4,1,16,down,1994-01-01
6,Breathe Again,Toni Braxton,https://charts-static.billboard.com/img/1993/08/toni-braxton-asw-53x53.jpg,,8,6,12,up,1994-01-01
7,Gangsta Lean,DRS,Not supported yet,,6,4,12,down,1994-01-01
8,What's My Name?,Snoop Dogg,https://charts-static.billboard.com/img/1993/10/snoop-dogg-7vk-53x53.jpg,,9,8,5,up,1994-01-01
9,Said I Loved You...But I Lied,Michael Bolton,https://charts-static.billboard.com/img/1993/11/michael-bolton-hcc-53x53.jpg,,10,9,9,up,1994-01-01
10,Shoop,Salt-N-Pepa,https://charts-static.billboard.com/img/1993/09/salt-n-pepa-8w9-53x53.jpg,,7,4,13,down,1994-01-01
11,Whoomp! (There It Is),Tag Team,https://charts-static.billboard.com/img/1840/12/tag-team-0qz-53x53.jpg,,13,2,32,up,1994-01-01
12,Please Forgive Me,Bryan Adams,https://charts-static.billboard.com/img/1993/10/bryan-adams-xrt-53x53.jpg,,11,7,11,down,1994-01-01
13,Can We Talk,Tevin Campbell,https://charts-static.billboard.com/img/1840/12/tevin-campbell-zoh-53x53.jpg,,12,10,12,down,1994-01-01
14,Keep Ya Head Up,2Pac,https://charts-static.billboard.com/img/1993/10/2pac-asm-53x53.jpg,,15,13,10,up,1994-01-01
15,Just Kickin' It,Xscape,https://charts-static.billboard.com/img/1993/09/xscape-xav-53x53.jpg,,14,2,16,down,1994-01-01
16,Linger,The Cranberries,https://charts-static.billboard.com/img/1993/09/the-cranberries-gie-53x53.jpg,,16,16,11,same,1994-01-01
17,Getto Jam,Domino,https://charts-static.billboard.com/img/1993/10/domino-337-53x53.jpg,,19,17,6,up,1994-01-01
18,Cry For You,Jodeci,https://charts-static.billboard.com/img/1993/11/jodeci-bbm-53x53.jpg,,23,18,6,up,1994-01-01
19,Because The Night,"10,000 Maniacs",https://charts-static.billboard.com/img/1993/10/10000-maniacs-52b-53x53.jpg,,18,18,9,down,1994-01-01
20,Mr. Vain,Culture Beat,https://charts-static.billboard.com/img/1993/10/culture-beat-8hf-53x53.jpg,,20,20,9,same,1994-01-01
21,Never Keeping Secrets,Babyface,https://charts-static.billboard.com/img/1993/09/babyface-isu-53x53.jpg,,21,21,11,same,1994-01-01
22,The Power Of Love,Celine Dion,https://charts-static.billboard.com/img/1993/11/celine-dion-0hi-53x53.jpg,,28,22,6,up,1994-01-01
23,"I Can See Clearly Now (From ""Cool Runnings"")",Jimmy Cliff,https://charts-static.billboard.com/img/1993/10/jimmy-cliff-v63-53x53.jpg,,24,23,9,up,1994-01-01
24,What Is Love,Haddaway,https://charts-static.billboard.com/img/1993/07/haddaway-1id-53x53.jpg,,22,11,19,down,1994-01-01
25,Hey Mr. D.J.,Zhane,Not supported yet,,17,6,19,down,1994-01-01
26,Come Baby Come,K7,Not supported yet,,25,18,18,down,1994-01-01
27,Sex Me (Parts I & II),R. Kelly,https://charts-static.billboard.com/img/1993/10/r-kelly-ct9-53x53.jpg,,27,20,10,same,1994-01-01
28,U.N.I.T.Y.,Queen Latifah,https://charts-static.billboard.com/img/1993/11/queen-latifah-ax2-53x53.jpg,,34,28,6,up,1994-01-01
29,Dreams,Gabrielle,https://charts-static.billboard.com/img/1993/09/gabrielle-jw8-53x53.jpg,,32,29,13,up,1994-01-01
30,Dreamlover,Mariah Carey,https://charts-static.billboard.com/img/1993/08/mariah-carey-tgq-53x53.jpg,,26,1,22,down,1994-01-01
31,"Never Should've Let You Go (From ""Sister Act 2"")",Hi-Five,https://charts-static.billboard.com/img/1993/10/hi-five-i9q-53x53.jpg,,30,30,12,down,1994-01-01
32,All About Soul,Billy Joel,https://charts-static.billboard.com/img/1993/11/billy-joel-9l9-53x53.jpg,,29,29,9,down,1994-01-01
33,Time And Chance,Color Me Badd,https://charts-static.billboard.com/img/1993/10/color-me-badd-cop-53x53.jpg,,31,23,10,down,1994-01-01
34,Cryin',Aerosmith,https://charts-static.billboard.com/img/1993/06/aerosmith-fsf-53x53.jpg,,35,12,23,up,1994-01-01
35,Jessie,Joshua Kadison,https://charts-static.billboard.com/img/1993/05/joshua-kadison-csj-53x53.jpg,,33,33,13,down,1994-01-01
36,Amazing,Aerosmith,https://charts-static.billboard.com/img/1993/10/aerosmith-fsf-53x53.jpg,,45,36,5,up,1994-01-01
37,(I Know I Got) Skillz,Shaquille O'Neal,https://charts-static.billboard.com/img/1993/10/shaquille-oneal-de1-53x53.jpg,,39,35,11,up,1994-01-01
38,Anniversary,Tony Toni Tone,Not supported yet,,36,10,15,down,1994-01-01
39,Found Out About You,Gin Blossoms,https://charts-static.billboard.com/img/1993/10/gin-blossoms-sxo-53x53.jpg,,46,39,7,up,1994-01-01
40,The River Of Dreams,Billy Joel,https://charts-static.billboard.com/img/1993/07/billy-joel-9l9-53x53.jpg,,38,3,23,down,1994-01-01
41,Sweat (A La La La La Long),Inner Circle,https://charts-static.billboard.com/img/1993/07/inner-circle-971-53x53.jpg,,40,16,22,down,1994-01-01
42,Real Muthaphuckkin G's,Eazy-E,https://charts-static.billboard.com/img/1993/11/gangsta-dresta-000-53x53.jpg,,49,42,8,up,1994-01-01
43,Let It Snow,Boyz II Men,https://charts-static.billboard.com/img/1993/11/boyz-ii-men-iur-53x53.jpg,,53,43,4,up,1994-01-01
44,Wild World,Mr. Big,https://charts-static.billboard.com/img/1993/10/mr-big-nos-53x53.jpg,,47,27,13,up,1994-01-01
45,Higher Ground,UB40,https://charts-static.billboard.com/img/1993/08/ub40-8p0-53x53.jpg,,51,45,13,up,1994-01-01
46,Understanding,Xscape,https://charts-static.billboard.com/img/1993/11/xscape-xav-53x53.jpg,,42,42,2,down,1994-01-01
47,Slow And Easy,Zapp & Roger,Not supported yet,,44,44,10,down,1994-01-01
48,If,Janet Jackson,https://charts-static.billboard.com/img/1993/05/janet-jackson-9z4-53x53.jpg,,43,4,24,down,1994-01-01
49,No Rain,Blind Melon,https://charts-static.billboard.com/img/1993/07/blind-melon-9q8-53x53.jpg,,41,20,20,down,1994-01-01
50,Both Sides Of The Story,Phil Collins,https://charts-static.billboard.com/img/1993/10/phil-collins-zdh-53x53.jpg,,37,25,10,down,1994-01-01
51,Cantaloop (Flip Fantasia),US3,https://charts-static.billboard.com/img/1993/11/us3-ghj-53x53.jpg,,54,51,6,up,1994-01-01
52,"Two Steps Behind (From ""Last Action Hero"")",Def Leppard,https://charts-static.billboard.com/img/1993/07/def-leppard-3qx-53x53.jpg,,50,12,17,down,1994-01-01
53,Award Tour,A Tribe Called Quest,https://charts-static.billboard.com/img/1993/10/a-tribe-called-quest-o81-53x53.jpg,,55,53,9,up,1994-01-01
54,Miss You In A Heartbeat,Def Leppard,https://charts-static.billboard.com/img/1993/12/def-leppard-3qx-53x53.jpg,,59,54,4,up,1994-01-01
55,Goody Goody,Lisette Melendez,https://charts-static.billboard.com/img/1993/11/lisette-melendez-q82-53x53.jpg,,58,55,4,up,1994-01-01
56,True Love,Elton John & Kiki Dee,https://charts-static.billboard.com/img/1993/11/kiki-dee-000-53x53.jpg,,56,56,6,same,1994-01-01
57,God Blessed Texas,Little Texas,https://charts-static.billboard.com/img/1993/10/little-texas-bxw-53x53.jpg,,65,57,8,up,1994-01-01
58,I'll Be Loving You,Collage,Not supported yet,,60,57,6,up,1994-01-01
59,Come Inside,Intro,https://charts-static.billboard.com/img/1993/08/intro-m29-53x53.jpg,,57,33,18,down,1994-01-01
60,"Soul To Squeeze (From ""Coneheads"")",Red Hot Chili Peppers,https://charts-static.billboard.com/img/1993/08/red-hot-chili-peppers-c0t-53x53.jpg,,61,22,19,up,1994-01-01
61,"Stay (Faraway, So Close!)",U2,https://charts-static.billboard.com/img/1993/07/u2-uun-53x53.jpg,,66,61,3,up,1994-01-01
62,Life (Everybody Needs Somebody To Love),Haddaway,https://charts-static.billboard.com/img/1993/12/haddaway-1id-53x53.jpg,,83,62,2,up,1994-01-01
63,Yours,Shai,https://charts-static.billboard.com/img/1993/11/shai-n1f-53x53.jpg,,70,63,4,up,1994-01-01
64,Freakit,Das EFX,https://charts-static.billboard.com/img/1993/11/das-efx-fwm-53x53.jpg,,63,43,8,down,1994-01-01
65,Hopelessly,Rick Astley,https://charts-static.billboard.com/img/1993/08/rick-astley-opu-53x53.jpg,,62,28,18,down,1994-01-01
66,So Much In Love,All-4-One,https://charts-static.billboard.com/img/1993/12/all-4-one-4rn-53x53.jpg,,,,,new,1994-01-01
67,Everybody Hurts,R.E.M.,https://charts-static.billboard.com/img/1993/08/rem-w4l-53x53.jpg,,64,29,17,down,1994-01-01
68,The Sign,Ace Of Base,https://charts-static.billboard.com/img/1840/12/ace-of-base-uz5-53x53.jpg,,,,,new,1994-01-01
69,Cannonball,The Breeders,https://charts-static.billboard.com/img/1993/09/the-breeders-xx0-53x53.jpg,,69,69,5,same,1994-01-01
