rank,title,artist,image,last week,peak position,weeks on chart,detail,date,weeks at no.1
1,Let Me Love You,Mario,https://charts-static.billboard.com/img/1840/12/mario-53t-53x53.jpg,2,1,11,up,2005-01-01,
2,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell,https://charts-static.billboard.com/img/2004/09/snoop-dogg-7vk-53x53.jpg,1,1,14,down,2005-01-01,
3,"1, 2 Step",Ciara Featuring Missy Elliott,https://charts-static.billboard.com/img/2004/10/ciara-b1v-53x53.jpg,3,3,10,same,2005-01-01,
4,Soldier,Destiny's Child Featuring T.I. & Lil Wayne,https://charts-static.billboard.com/img/2004/11/destinys-child-31s-53x53.jpg,7,4,6,up,2005-01-01,
5,Lovers And Friends,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,https://charts-static.billboard.com/img/2004/11/lil-jon-cje-53x53.jpg,6,5,6,up,2005-01-01,
6,My Boo,Usher And Alicia Keys,https://charts-static.billboard.com/img/2004/08/usher-oqp-53x53.jpg,4,1,17,down,2005-01-01,
7,Over And Over,Nelly Featuring Tim McGraw,https://charts-static.billboard.com/img/2004/10/nelly-fmf-53x53.jpg,5,3,12,down,2005-01-01,
8,Wonderful,Ja Rule Featuring R. Kelly & Ashanti,https://charts-static.billboard.com/img/2004/06/ja-rule-p2l-53x53.jpg,8,5,12,same,2005-01-01,
9,Lose My Breath,Destiny's Child,https://charts-static.billboard.com/img/2004/09/destinys-child-31s-53x53.jpg,9,3,15,same,2005-01-01,
10,I Don't Want To Be,Gavin DeGraw,https://charts-static.billboard.com/img/2004/03/gavin-degraw-n1q-53x53.jpg,12,10,11,up,2005-01-01,
11,Disco Inferno,50 Cent,https://charts-static.billboard.com/img/2004/12/50-cent-9ay-53x53.jpg,13,11,4,up,2005-01-01,
12,Breakaway,Kelly Clarkson,https://charts-static.billboard.com/img/2004/08/kelly-clarkson-091-53x53.jpg,10,6,19,down,2005-01-01,
13,Get Back,Ludacris,https://charts-static.billboard.com/img/2004/10/ludacris-5cn-53x53.jpg,18,13,7,up,2005-01-01,
14,Only U,Ashanti,https://charts-static.billboard.com/img/2004/10/ashanti-pl5-53x53.jpg,14,14,7,same,2005-01-01,
15,Let's Go,Trick Daddy Featuring Lil Jon & Twista,https://charts-static.billboard.com/img/2004/09/trick-daddy-56p-53x53.jpg,11,7,16,down,2005-01-01,
16,How We Do,The Game Featuring 50 Cent,https://charts-static.billboard.com/img/2004/10/the-game-r55-53x53.jpg,23,16,6,up,2005-01-01,
17,She Will Be Loved,Maroon 5,https://charts-static.billboard.com/img/1840/12/maroon-5-9st-53x53.jpg,15,5,24,down,2005-01-01,
18,Boulevard Of Broken Dreams,Green Day,https://charts-static.billboard.com/img/2004/10/green-day-qwn-53x53.jpg,27,18,6,up,2005-01-01,
19,Karma,Lloyd Banks Featuring Avant,https://charts-static.billboard.com/img/2004/10/lloyd-banks-6zp-53x53.jpg,25,19,7,up,2005-01-01,
20,Goodies,Ciara Featuring Petey Pablo,https://charts-static.billboard.com/img/2004/06/ciara-b1v-53x53.jpg,16,1,28,down,2005-01-01,
21,Dare You To Move,Switchfoot,https://charts-static.billboard.com/img/2004/03/switchfoot-apa-53x53.jpg,19,17,14,down,2005-01-01,
22,What U Gon' Do,Lil Jon & The East Side Boyz Featuring Lil Scrappy,https://charts-static.billboard.com/img/2004/08/lil-jon-cje-53x53.jpg,22,22,9,same,2005-01-01,
23,U Make Me Wanna,Jadakiss Featuring Mariah Carey,https://charts-static.billboard.com/img/2004/07/jadakiss-y85-53x53.jpg,21,21,7,down,2005-01-01,
24,Numb/Encore,Jay-Z/Linkin Park,https://charts-static.billboard.com/img/2004/11/jay-z-gbw-53x53.jpg,37,24,6,up,2005-01-01,
25,Encore,"Eminem, Dr. Dre & 50 Cent",https://charts-static.billboard.com/img/2004/11/eminem-1xq-53x53.jpg,26,25,7,up,2005-01-01,
26,Bring Em Out,T.I.,https://charts-static.billboard.com/img/2004/10/ti-e27-53x53.jpg,35,26,6,up,2005-01-01,
27,New York,Ja Rule Featuring Fat Joe & Jadakiss,https://charts-static.billboard.com/img/2004/10/ja-rule-p2l-53x53.jpg,32,27,7,up,2005-01-01,
28,Oye Mi Canto,"N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato",https://charts-static.billboard.com/img/2004/08/nore-cas-53x53.jpg,17,12,19,down,2005-01-01,
29,True,Ryan Cabrera,https://charts-static.billboard.com/img/2004/10/ryan-cabrera-xmg-53x53.jpg,39,29,4,up,2005-01-01,
30,Daughters,John Mayer,https://charts-static.billboard.com/img/2004/09/john-mayer-4ke-53x53.jpg,34,30,9,up,2005-01-01,
31,Some Beach,Blake Shelton,https://charts-static.billboard.com/img/2004/08/blake-shelton-22w-53x53.jpg,28,28,10,down,2005-01-01,
32,Charlene,Anthony Hamilton,https://charts-static.billboard.com/img/2004/02/anthony-hamilton-03q-53x53.jpg,29,19,18,down,2005-01-01,
33,Breathe,Fabolous,https://charts-static.billboard.com/img/2004/08/fabolous-3lg-53x53.jpg,20,10,16,down,2005-01-01,
34,Go D.J.,Lil Wayne,https://charts-static.billboard.com/img/2004/09/lil-wayne-9q6-53x53.jpg,24,14,14,down,2005-01-01,
35,Back When,Tim McGraw,https://charts-static.billboard.com/img/2004/09/tim-mcgraw-j7r-53x53.jpg,30,30,11,down,2005-01-01,
36,Broken,Seether Featuring Amy Lee,https://charts-static.billboard.com/img/2004/04/seether-tje-53x53.jpg,31,20,18,down,2005-01-01,
37,Vertigo,U2,https://charts-static.billboard.com/img/2004/10/u2-uun-53x53.jpg,36,31,13,down,2005-01-01,
38,Since U Been Gone,Kelly Clarkson,https://charts-static.billboard.com/img/2004/11/kelly-clarkson-091-53x53.jpg,53,38,3,up,2005-01-01,
39,One Thing,Finger Eleven,https://charts-static.billboard.com/img/2003/10/finger-eleven-7ug-53x53.jpg,41,16,24,up,2005-01-01,
40,Beautiful Soul,Jesse McCartney,https://charts-static.billboard.com/img/2004/10/jesse-mccartney-2fg-53x53.jpg,49,40,4,up,2005-01-01,
41,On The Way Down,Ryan Cabrera,https://charts-static.billboard.com/img/2004/06/ryan-cabrera-xmg-53x53.jpg,42,15,23,up,2005-01-01,
