id,title,artist,count,year,duration,loudness,tempo,time_signature,key,danceability,energy,valence,explicit
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,43,2024,210.68884,-4.409,159.92,3.0,9.0,0.561,0.604,0.242,False
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,40,2024,182.34671,-6.935,117.896,4.0,9.0,0.664,0.5,0.801,False
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,39,2024,180.30449,-5.692,105.029,3.0,10.0,0.472,0.471,0.219,False
6D8y7Bck8h11byRY88Pt2z,Houdini,Dua Lipa,37,2024,185.91795,-4.876,116.985,4.0,9.0,0.744,0.789,0.866,False
4KULAymBBJcPRpk1yO4dOG,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,35,2024,227.19592,-7.746,77.639,4.0,0.0,0.429,0.453,0.155,False
1bjeWoagtHmUKputLVyDxQ,Saturn,SZA,34,2024,186.1916,-6.834,177.937,4.0,1.0,0.411,0.619,0.337,False
2Zo1PcszsT9WQ0ANntJbID,Feather,Sabrina Carpenter,34,2024,185.55252,-4.332,123.508,4.0,6.0,0.791,0.694,0.826,True
2uqYupMHANxnwgeiXTZXzd,Austin,Dasha,32,2024,171.78262,-6.743,114.935,4.0,0.0,0.756,0.672,0.739,True
4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,32,2024,138.41129,-4.911,104.983,4.0,2.0,0.943,0.558,0.606,True
76JKIsdKrAfWUMjaA0u7v5,Too Sweet,Hozier,30,2024,251.424,-5.505,117.038,4.0,10.0,0.741,0.62,0.934,False
2tudvzsrR56uom6smgOcSf,Like That,"Future, Metro Boomin & Kendrick Lamar",30,2024,267.70667,-4.67,162.012,4.0,11.0,0.814,0.676,0.312,True
3EO58D1YpHnTvBy68gK8HE,Wind Up Missin' You,Tucker Wetmore,29,2024,166.66667,-5.807,171.858,4.0,6.0,0.571,0.717,0.661,True
51eSHglvG1RJXtL3qI5trr,Slow It Down,Benson Boone,29,2024,161.83116,-4.682,181.489,4.0,8.0,0.432,0.583,0.544,False
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,28,2024,218.42381,-5.96,116.712,4.0,11.0,0.7,0.582,0.785,False
3rUGC1vUpkDG9CZFHMur1t,Greedy,Tate McRae,28,2024,131.87206,-3.19,111.004,1.0,6.0,0.749,0.729,0.816,True
