,id,title,artist,count,year,duration,loudness,tempo,time_signiture,key
0,17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,43,2024,210.68884,-4.409,159.92,3,9
1,0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,40,2024,182.34671,-6.935,117.896,4,9
2,3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,39,2024,180.30449,-5.692,105.029,3,10
3,6D8y7Bck8h11byRY88Pt2z,Houdini,Dua Lipa,37,2024,185.91795,-4.876,116.985,4,9
4,4KULAymBBJcPRpk1yO4dOG,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,35,2024,227.19592,-7.746,77.639,4,0
5,1bjeWoagtHmUKputLVyDxQ,Saturn,SZA,34,2024,186.1916,-6.834,177.937,4,1
6,2Zo1PcszsT9WQ0ANntJbID,Feather,Sabrina Carpenter,34,2024,185.55252,-4.332,123.508,4,6
7,2uqYupMHANxnwgeiXTZXzd,Austin,Dasha,32,2024,171.78262,-6.743,114.935,4,0
8,4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,32,2024,138.41129,-4.911,104.983,4,2
9,76JKIsdKrAfWUMjaA0u7v5,Too Sweet,Hozier,30,2024,251.424,-5.505,117.038,4,10
10,2tudvzsrR56uom6smgOcSf,Like That,"Future, Metro Boomin & Kendrick Lamar",30,2024,267.70667,-4.67,162.012,4,11
11,3EO58D1YpHnTvBy68gK8HE,Wind Up Missin' You,Tucker Wetmore,29,2024,166.66667,-5.807,171.858,4,6
12,51eSHglvG1RJXtL3qI5trr,Slow It Down,Benson Boone,29,2024,161.83116,-4.682,181.489,4,8
13,0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,28,2024,218.42381,-5.96,116.712,4,11
14,3rUGC1vUpkDG9CZFHMur1t,Greedy,Tate McRae,28,2024,131.87206,-3.19,111.004,1,6
15,2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,27,2024,171.29184,-4.95,81.012,4,9
16,2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,27,2024,175.45941,-5.478,103.969,4,0
17,6XjDF6nds4DE2BBbagZol6,Gata Only,FloyyMenor X Cris Mj,26,2024,222.0,-8.472,99.986,4,8
18,5PyDJG7SQRgWXefgexqIge,Agora Hills,Doja Cat,26,2024,265.36,-6.247,123.01,4,8
19,4q5YezDOIPcoLr8R81x9qy,I Can Do It With A Broken Heart,Taylor Swift,26,2024,218.00485,-8.39,129.994,4,0
20,0kE09o4Jdeu7vqjmkV1YJP,Wild Ones,Jessie Murph & Jelly Roll,26,2024,141.3678,-5.816,136.184,4,0
21,5A8xI7PN4WDe9e61xEdt94,Yeah Glo!,GloRilla,25,2024,142.70268,-5.349,148.072,4,11
22,5AJ9hqTS2wcFQCELCFRO7A,Million Dollar Baby,Tommy Richman,25,2024,155.15189,-5.108,138.005,4,1
23,7mOC6phfrfz3jfigg1aGsE,Wanna Be,GloRilla & Megan Thee Stallion,24,2024,156.44444,-5.17,135.05,4,1
24,4pkb8SbRGeHAvdb87v9rpf,Miles On It,Marshmello & Kane Brown,24,2024,168.35501,-4.673,129.982,4,5
25,51ZQ1vr10ffzbwIjDCwqm4,We Can't Be Friends (Wait For Your Love),Ariana Grande,24,2024,228.63918,-8.334,115.842,4,5
26,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,24,2024,274.19205,-7.001,101.061,4,1
27,7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls,Morgan Wallen Featuring ERNEST,24,2024,181.6211,-3.777,172.037,4,8
28,5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help,Post Malone Featuring Morgan Wallen,23,2024,178.20593,-4.834,128.004,4,7
29,42VsgItocQwOQC3XWZ8JNA,FE!N,Travis Scott Featuring Playboi Carti,23,2024,191.70094,-2.777,148.038,4,3
30,5uQ7de4EWjb3rkcFxyEOpu,Belong Together,Mark Ambor,23,2024,148.31755,-5.203,90.969,4,2
31,3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,23,2024,172.53333,-6.132,123.991,4,1
32,3Pbp7cUCx4d3OAkZSCoNvn,Scared To Start,Michael Marcagi,23,2024,159.6361,-11.258,148.035,4,7
33,3Gn1zuHNLtGuGEOXwq0k7e,Think I'm In Love With You,Chris Stapleton,22,2024,222.8,-14.124,91.866,4,6
34,0WIv5qV41y6YjjB9V1biuC,Made For Me,Muni Long,22,2024,188.0,-6.375,119.98,4,7
35,6GG4yyk3UATdBfTHVgI8PB,Ain't No Love In Oklahoma,Luke Combs,22,2024,210.94998,-5.835,142.071,4,5
36,3QaPy1KgI7nu9FJEQUgn6h,Wildflower,Billie Eilish,22,2024,261.46667,-12.002,148.101,4,6
37,0wXThIDxO3YRJCpPgnmbkw,Where It Ends,Bailey Zimmerman,22,2024,179.2941,-5.067,170.041,4,9
38,6dOtVTDdiauQNBQEDOtlAB,Birds Of A Feather,Billie Eilish,22,2024,210.37334,-10.171,104.978,4,2
39,4ZJ4vzLQekI0WntDbanNC7,Pink Skies,Zach Bryan,21,2024,194.92,-6.909,84.999,4,0
40,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,21,2024,178.42667,-5.707,169.994,4,9
41,3qhlB30KknSejmIvZZLjOD,End Of Beginning,Djo,21,2024,159.24557,-7.643,159.982,4,2
42,2MjXWroB9wlTG2kqv3avfS,Get It Sexyy,Sexyy Red,20,2024,148.5517,-5.63,145.031,4,5
43,4xdBrk0nFZaP54vvZj0yx7,Hot To Go!,Chappell Roan,20,2024,184.8411,-4.981,139.982,4,6
44,6rVuwfysYo1Bp4Hoc4YuE0,Bulletproof,Nate Smith,20,2024,183.91995,-5.177,79.912,4,7
45,4FgvZaxSi4fwCLEc5tFV00,Wine Into Whiskey,Tucker Wetmore,20,2024,166.34666,-5.227,149.983,4,11
46,1C84d9abZVKWHT2YYpoean,Si No Quieres No,Luis R Conriquez x Neton Vega,20,2024,147.01102,-6.372,100.123,1,4
47,57wp7VFnV8X0pSVnYArGeJ,Whatever She Wants,Bryson Tiller,20,2024,161.34209,-6.871,96.02,4,9
48,2OzhQlSqBEmt7hmkYxfT6m,Fortnight,Taylor Swift Featuring Post Malone,20,2024,228.96548,-10.976,192.004,4,11
49,28drn6tQo95MRvO0jQEo5C,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",20,2024,228.26666,-5.679,144.941,4,2
50,7BRD7x5pt8Lqa1eGYC4dzj,Chihiro,Billie Eilish,20,2024,303.44,-12.531,110.015,4,7
51,4Na2HfNSr58chvfX69fy36,One Of Wun,Gunna,20,2024,144.0,-4.589,139.943,4,10
52,2x2olWuWXpqjoeE4bO1NFS,Never Lose Me,Flo Milli,20,2024,125.90163,-7.858,121.971,4,1
53,629DixmZGHc7ILtEntuiWE,Lunch,Billie Eilish,20,2024,179.58667,-7.981,124.987,4,11
54,48X5k2vce5rXckgDAnXMsa,Dirt Cheap,Cody Johnson,20,2024,239.34666,-5.891,120.065,4,1
55,0Lmbke3KNVFXtoH2mMSHCw,The Boy Is Mine,Ariana Grande,20,2024,173.63977,-5.854,97.998,4,7
56,5NU6kBZORKaoqS09mOqgXs,23,Chayce Beckham,20,2024,228.14499,-7.361,87.972,4,0
57,3dj4wgM3cPeuLwMNHDuBon,The Door,Teddy Swims,20,2024,212.64853,-5.483,127.922,4,8
