index,rank,title,artist,count,year,id,duration,loudness,tempo,time_signature,key
0,0,Lose Control,Teddy Swims,43,2024,17phhZDn6oGtzMe56NuWvj,210.68884,-4.409,159.92,3.0,9.0
1,1,Stick Season,Noah Kahan,40,2024,0mflMxspEfB0VbI1kyLiAv,182.34671,-6.935,117.896,4.0,9.0
2,2,Beautiful Things,Benson Boone,39,2024,3xkHsmpQCBMytMJNiDf3Ii,180.30449,-5.692,105.029,3.0,10.0
3,3,Houdini,Dua Lipa,37,2024,6D8y7Bck8h11byRY88Pt2z,185.91795,-4.876,116.985,4.0,9.0
4,4,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,35,2024,4KULAymBBJcPRpk1yO4dOG,227.19592,-7.746,77.639,4.0,0.0
5,5,Saturn,SZA,34,2024,1bjeWoagtHmUKputLVyDxQ,186.1916,-6.834,177.937,4.0,1.0
6,6,Feather,Sabrina Carpenter,34,2024,2Zo1PcszsT9WQ0ANntJbID,185.55252,-4.332,123.508,4.0,6.0
7,7,Austin,Dasha,32,2024,2uqYupMHANxnwgeiXTZXzd,171.78262,-6.743,114.935,4.0,0.0
8,8,Lovin On Me,Jack Harlow,32,2024,4xhsWYTOGcal8zt0J161CU,138.41129,-4.911,104.983,4.0,2.0
9,9,Too Sweet,Hozier,30,2024,76JKIsdKrAfWUMjaA0u7v5,251.424,-5.505,117.038,4.0,10.0
10,10,Like That,"Future, Metro Boomin & Kendrick Lamar",30,2024,2tudvzsrR56uom6smgOcSf,267.70667,-4.67,162.012,4.0,11.0
11,11,Wind Up Missin' You,Tucker Wetmore,29,2024,3EO58D1YpHnTvBy68gK8HE,166.66667,-5.807,171.858,4.0,6.0
12,12,Slow It Down,Benson Boone,29,2024,51eSHglvG1RJXtL3qI5trr,161.83116,-4.682,181.489,4.0,8.0
13,13,"Good Luck, Babe!",Chappell Roan,28,2024,0WbMK4wrZ1wFSty9F7FCgu,218.42381,-5.96,116.712,4.0,11.0
14,14,Greedy,Tate McRae,28,2024,3rUGC1vUpkDG9CZFHMur1t,131.87206,-3.19,111.004,1.0,6.0
15,15,A Bar Song (Tipsy),Shaboozey,27,2024,2FQrifJ1N335Ljm3TjTVVf,171.29184,-4.95,81.012,4.0,9.0
16,16,Espresso,Sabrina Carpenter,27,2024,2qSkIjg1o9h3YT9RAgYN75,175.45941,-5.478,103.969,4.0,0.0
17,17,Gata Only,FloyyMenor X Cris Mj,26,2024,6XjDF6nds4DE2BBbagZol6,222.0,-8.472,99.986,4.0,8.0
18,18,Agora Hills,Doja Cat,26,2024,5PyDJG7SQRgWXefgexqIge,265.36,-6.247,123.01,4.0,8.0
19,19,I Can Do It With A Broken Heart,Taylor Swift,26,2024,4q5YezDOIPcoLr8R81x9qy,218.00485,-8.39,129.994,4.0,0.0
20,20,Wild Ones,Jessie Murph & Jelly Roll,26,2024,0kE09o4Jdeu7vqjmkV1YJP,141.3678,-5.816,136.184,4.0,0.0
21,21,Yeah Glo!,GloRilla,25,2024,5A8xI7PN4WDe9e61xEdt94,142.70268,-5.349,148.072,4.0,11.0
22,22,Million Dollar Baby,Tommy Richman,25,2024,5AJ9hqTS2wcFQCELCFRO7A,155.15189,-5.108,138.005,4.0,1.0
23,23,Wanna Be,GloRilla & Megan Thee Stallion,24,2024,7mOC6phfrfz3jfigg1aGsE,156.44444,-5.17,135.05,4.0,1.0
24,24,Miles On It,Marshmello & Kane Brown,24,2024,4pkb8SbRGeHAvdb87v9rpf,168.35501,-4.673,129.982,4.0,5.0
25,25,We Can't Be Friends (Wait For Your Love),Ariana Grande,24,2024,51ZQ1vr10ffzbwIjDCwqm4,228.63918,-8.334,115.842,4.0,5.0
26,26,Not Like Us,Kendrick Lamar,24,2024,6AI3ezQ4o3HUoP6Dhudph3,274.19205,-7.001,101.061,4.0,1.0
27,27,Cowgirls,Morgan Wallen Featuring ERNEST,24,2024,7fveJ3pk1eSfxBdVkzdXZ0,181.6211,-3.777,172.037,4.0,8.0
28,28,I Had Some Help,Post Malone Featuring Morgan Wallen,23,2024,5IZXB5IKAD2qlvTPJYDCFB,178.20593,-4.834,128.004,4.0,7.0
29,29,FE!N,Travis Scott Featuring Playboi Carti,23,2024,42VsgItocQwOQC3XWZ8JNA,191.70094,-2.777,148.038,4.0,3.0
30,30,Belong Together,Mark Ambor,23,2024,0rtDE9zfXbamTlRUSwY7zy,148.31755,-5.203,90.97,4.0,2.0
31,31,Stargazing,Myles Smith,23,2024,3Vr3zh0r7ALn8VLqCiRR10,172.53333,-6.132,123.991,4.0,1.0
32,32,Scared To Start,Michael Marcagi,23,2024,3Pbp7cUCx4d3OAkZSCoNvn,159.6361,-11.258,148.035,4.0,7.0
33,33,Think I'm In Love With You,Chris Stapleton,22,2024,3Gn1zuHNLtGuGEOXwq0k7e,222.8,-14.124,91.866,4.0,6.0
34,34,Made For Me,Muni Long,22,2024,0WIv5qV41y6YjjB9V1biuC,188.0,-6.375,119.98,4.0,7.0
35,35,Ain't No Love In Oklahoma,Luke Combs,22,2024,6GG4yyk3UATdBfTHVgI8PB,210.94998,-5.835,142.071,4.0,5.0
36,36,Wildflower,Billie Eilish,22,2024,3QaPy1KgI7nu9FJEQUgn6h,261.46667,-12.002,148.101,4.0,6.0
37,37,Where It Ends,Bailey Zimmerman,22,2024,0wXThIDxO3YRJCpPgnmbkw,179.2941,-5.067,170.041,4.0,9.0
38,38,Birds Of A Feather,Billie Eilish,22,2024,6dOtVTDdiauQNBQEDOtlAB,210.37334,-10.171,104.978,4.0,2.0
39,39,Pink Skies,Zach Bryan,21,2024,4ZJ4vzLQekI0WntDbanNC7,194.92,-6.909,84.999,4.0,0.0
40,40,Cruel Summer,Taylor Swift,21,2024,1BxfuPKGuaTgP7aM0Bbdwr,178.42667,-5.707,169.994,4.0,9.0
41,41,End Of Beginning,Djo,21,2024,3qhlB30KknSejmIvZZLjOD,159.24557,-7.643,159.982,4.0,2.0
42,42,Get It Sexyy,Sexyy Red,20,2024,2MjXWroB9wlTG2kqv3avfS,148.5517,-5.63,145.031,4.0,5.0
43,43,Hot To Go!,Chappell Roan,20,2024,4xdBrk0nFZaP54vvZj0yx7,184.8411,-4.981,139.982,4.0,6.0
44,44,Bulletproof,Nate Smith,20,2024,6rVuwfysYo1Bp4Hoc4YuE0,183.91995,-5.177,79.912,4.0,7.0
45,45,Wine Into Whiskey,Tucker Wetmore,20,2024,4FgvZaxSi4fwCLEc5tFV00,166.34666,-5.227,149.983,4.0,11.0
46,46,Si No Quieres No,Luis R Conriquez x Neton Vega,20,2024,1C84d9abZVKWHT2YYpoean,147.01102,-6.372,100.123,1.0,4.0
47,47,Whatever She Wants,Bryson Tiller,20,2024,57wp7VFnV8X0pSVnYArGeJ,161.34209,-6.871,96.02,4.0,9.0
48,48,Fortnight,Taylor Swift Featuring Post Malone,20,2024,2OzhQlSqBEmt7hmkYxfT6m,228.96548,-10.976,192.004,4.0,11.0
49,49,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",20,2024,28drn6tQo95MRvO0jQEo5C,228.26666,-5.679,144.941,4.0,2.0
50,50,Chihiro,Billie Eilish,20,2024,7BRD7x5pt8Lqa1eGYC4dzj,303.44,-12.531,110.015,4.0,7.0
51,51,One Of Wun,Gunna,20,2024,4Na2HfNSr58chvfX69fy36,144.0,-4.589,139.943,4.0,10.0
52,52,Never Lose Me,Flo Milli,20,2024,2x2olWuWXpqjoeE4bO1NFS,125.90163,-7.858,121.971,4.0,1.0
53,53,Lunch,Billie Eilish,20,2024,629DixmZGHc7ILtEntuiWE,179.58667,-7.981,124.987,4.0,11.0
54,54,Dirt Cheap,Cody Johnson,20,2024,48X5k2vce5rXckgDAnXMsa,239.34666,-5.891,120.065,4.0,1.0
55,55,The Boy Is Mine,Ariana Grande,20,2024,0Lmbke3KNVFXtoH2mMSHCw,173.63977,-5.854,97.998,4.0,7.0
56,56,23,Chayce Beckham,20,2024,5NU6kBZORKaoqS09mOqgXs,228.14499,-7.361,87.972,4.0,0.0
57,57,The Door,Teddy Swims,20,2024,3dj4wgM3cPeuLwMNHDuBon,212.64853,-5.483,127.922,4.0,8.0
58,58,Act II: Date @ 8,4Batz,20,2024,3QS9ZCtoSCJhmaJ7QNXSAS,231.33868,-9.304,102.469,4.0,0.0
59,59,Texas Hold 'Em,Beyonce,20,2024,7wLShogStyDeZvL0a6daN5,233.45663,-6.549,110.012,4.0,2.0
60,60,Spin You Around (1/24),Morgan Wallen,20,2024,47Xj8eIAp7hYOOqArmkqZE,209.42722,-6.06,141.952,4.0,4.0
61,61,I Like The Way You Kiss Me,Artemas,20,2024,2GxrNKugF82CnoRFbQfzPf,142.5146,-4.263,151.647,4.0,11.0
62,62,Get In With Me,BossMan Dlow,20,2024,6bryx7HyB4lVDc0KQXuoJ0,120.79297,-5.553,158.9,4.0,1.0
