,title,artist,count,year
0,You And Me,Lifehouse,46,2005
1,Since U Been Gone,Kelly Clarkson,44,2005
2,Karma,Lloyd Banks Featuring Avant,38,2005
3,Beverly Hills,Weezer,38,2005
4,We Belong Together,Mariah Carey,38,2005
5,Mr. Brightside,The Killers,38,2005
6,Scars,Papa Roach,38,2005
7,Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,35,2005
8,Lonely No More,Rob Thomas,34,2005
9,Behind These Hazel Eyes,Kelly Clarkson,34,2005
10,Holiday,Green Day,32,2005
11,Collide,Howie Day,32,2005
12,Feel Good Inc,Gorillaz,32,2005
13,Hollaback Girl,Gwen Stefani,31,2005
14,Let Me Go,3 Doors Down,31,2005
15,Boulevard Of Broken Dreams,Green Day,31,2005
16,La Tortura,Shakira Featuring Alejandro Sanz,31,2005
17,"1, 2 Step",Ciara Featuring Missy Elliott,30,2005
18,Like You,Daddy Yankee,28,2005
19,Lose Control,Missy Elliott Featuring Ciara & Fat Man Scoop,28,2005
20,Breakaway,Kelly Clarkson,28,2005
21,Switch,Will Smith,28,2005
22,Listen To Your Heart,D.H.T.,27,2005
23,"Sugar, We're Goin' Down",Fall Out Boy,27,2005
24,Just A Lil Bit,50 Cent,27,2005
25,Pon de Replay,Rihanna,27,2005
26,Let Me Love You,Mario,26,2005
27,Disco Inferno,50 Cent,26,2005
28,Rich Girl,Gwen Stefani Featuring Eve,26,2005
29,Sugar (Gimme Some),"Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo",26,2005
30,Don't Phunk With My Heart,The Black Eyed Peas,26,2005
31,Baby I'm Back,Baby Bash Featuring Akon,25,2005
32,Cater 2 U,Destiny's Child,24,2005
33,Some Cut,Trillville Featuring Cutty,24,2005
34,Let Me Hold You,Bow Wow Featuring Omarion,24,2005
35,Caught Up,Usher,24,2005
36,Home,Three Days Grace,24,2005
37,Shake It Off,Mariah Carey,23,2005
38,How We Do,The Game Featuring 50 Cent,23,2005
39,Hate It Or Love It,The Game Featuring 50 Cent,23,2005
40,Gold Digger,Kanye West Featuring Jamie Foxx,23,2005
41,Candy Shop,50 Cent Featuring Olivia,23,2005
42,Oh,Ciara Featuring Ludacris,23,2005
43,Wake Me Up When September Ends,Green Day,22,2005
44,Wait (The Whisper Song),Ying Yang Twins,22,2005
45,Slow Down,Bobby Valentino,22,2005
46,Grind With Me,Pretty Ricky,22,2005
47,Obsession (No Es Amor),Frankie J Featuring Baby Bash,21,2005
48,Best Of You,Foo Fighters,21,2005
49,Dirty Little Secret,The All-American Rejects,21,2005
50,Just The Girl,The Click Five,20,2005
51,Right Here,Staind,20,2005
52,Play,David Banner,20,2005
53,Pimpin' All Over The World,Ludacris Featuring Bobby Valentino,20,2005
54,Fast Cars And Freedom,Rascal Flatts,20,2005
55,U Don't Know Me,T.I.,20,2005
56,Don't Lie,The Black Eyed Peas,20,2005
57,Goin' Crazy,Natalie,20,2005
58,Free Yourself,Fantasia,20,2005
59,Ordinary People,John Legend,20,2005
60,It's Like That,Mariah Carey,20,2005
61,Incomplete,Backstreet Boys,20,2005
62,1 Thing,Amerie,20,2005
63,Lonely,Akon,20,2005
64,Look What You've Done,Jet,20,2005
65,Making Memories Of Us,Keith Urban,20,2005
66,Mississippi Girl,Faith Hill,20,2005
67,Mockingbird,Eminem,20,2005
68,Must Be Nice,Lyfe Jennings,20,2005
69,My Give A Damn's Busted,Jo Dee Messina,20,2005
70,My Humps,The Black Eyed Peas,20,2005
71,Nothin' To Lose,Josh Gracin,20,2005
72,Gone,Montgomery Gentry,20,2005
73,O,Omarion,20,2005
74,Give Me That,Webbie Featuring Bun B,20,2005
75,Girlfight,Brooke Valentine Featuring Lil Jon & Big Boi,20,2005
76,Girl,Destiny's Child,20,2005
77,Okay,Nivea Featuring Lil Jon & YoungBloodZ,20,2005
78,Get It Poppin',Fat Joe Featuring Nelly,20,2005
79,U Already Know,112 Featuring Foxy Brown,20,2005
80,This Is How A Heart Breaks,Rob Thomas,20,2005
81,Anything But Mine,Kenny Chesney,20,2005
82,Back Then,Mike Jones,20,2005
83,Something To Be Proud Of,Montgomery Gentry,20,2005
84,As Good As I Once Was,Toby Keith,20,2005
85,Chariot,Gavin DeGraw,20,2005
86,Something More,Sugarland,20,2005
87,Speed Of Sound,Coldplay,20,2005
88,Belly Dancer (Bananza),Akon,20,2005
89,Almost,Bowling For Soup,20,2005
90,The Hand That Feeds,Nine Inch Nails,20,2005
91,Breathe (2 AM),Anna Nalick,20,2005
92,Your Body,Pretty Ricky,20,2005
93,Truth Is,Fantasia,20,2005
94,That's What I Love About Sunday,Craig Morgan,20,2005
95,Sunday Morning,Maroon 5,20,2005
96,Cool,Gwen Stefani,20,2005
97,A Real Fine Place To Start,Sara Evans,20,2005
98,These Words,Natasha Bedingfield,20,2005
99,B.Y.O.B.,System Of A Down,20,2005
